,hepatocytes__files,GM12878__files,HepG2__files,MCF-7__files
MYC,,ENCFF000ROG,,"ENCFF000RYI,ENCFF939WPN,ENCFF471DUF,ENCFF553VXD"
MYRF,,,ENCFF293AWG,
NBN,,ENCFF601VCM,ENCFF177KNX,ENCFF494KKU
NCOA3,,,,"ENCFF727JKS,ENCFF380MJA"
NCOR1,,,ENCFF157NII,
NEUROD1,,,,ENCFF264KEG
NFATC1,,ENCFF963CDS,,
NFATC3,,ENCFF799JAS,,
NFE2L2,,,ENCFF596MEF,
NFIA,,,ENCFF456LQJ,
NFIB,,,,"ENCFF027DSF,ENCFF801HFU"
NFIC,,ENCFF996TKN,,
NFIL3,,,ENCFF186UDP,
NFKBIZ,,,ENCFF500WWA,
NFRKB,,,ENCFF309WWF,ENCFF012LGL
NFXL1,,ENCFF502QYQ,,ENCFF506AQM
NFYA,,ENCFF169EJC,,
NFYB,,ENCFF112JWF,,
NFYC,,,ENCFF942QDY,
NKRF,,ENCFF410LVR,,
NONO,,,ENCFF266YXT,ENCFF404FMP
NR2C1,,ENCFF165WVA,,
NR2C2,,ENCFF861LRM,ENCFF000XZE,
NR2F1,,ENCFF653AWK,ENCFF543ZLP,
NR2F2,ENCFF279XHL,,"ENCFF000PLU,ENCFF000PLV","ENCFF000QOO,ENCFF000QOP"
NR2F6,,,ENCFF794IBO,
NR3C1,,,ENCFF000XRM,
NRF1,,ENCFF323SMV,ENCFF839ZVC,ENCFF711PMS
PAF1,,,ENCFF767JCU,
PAX5,,ENCFF945PRR,,
PAX8,,ENCFF463YMM,,ENCFF292XER
PBX2,,,ENCFF363DJS,
PBX3,,ENCFF022SDG,,
PCBP1,,,ENCFF442EYE,
PCBP2,,,ENCFF320TJQ,
PHB2,,,ENCFF430NMK,
PHF5A,,,ENCFF702ZIH,
PHF8,,,ENCFF695EFX,
PKNOX1,,ENCFF837DPP,,ENCFF913YWW
PLRG1,,,ENCFF626AUN,
PML,,,,"ENCFF000QPN,ENCFF000QPM"
POLR2A,,ENCFF368HBX,ENCFF000RUM,"ENCFF000SBA,ENCFF408SMJ,ENCFF000SBM"
POLR2AphosphoS2,,ENCFF031RUV,ENCFF117LOH,
POLR2AphosphoS5,,ENCFF002UPS,ENCFF468JHA,
POLR2G,,,ENCFF420YOK,
POLR3G,,ENCFF000WCM,,
PPARG,,,ENCFF599RHI,
PPARGC1A,,,ENCFF000XVV,
PPP1R10,,,,ENCFF892SCG
PRPF4,,,ENCFF059CKF,
PTBP1,,,ENCFF123FYD,
RAD21,"ENCFF984NZJ,ENCFF502LYH",ENCFF000WCT,ENCFF120BII,"ENCFF000QPT,ENCFF199WOT,ENCFF000QPU"
RAD51,,ENCFF017TFI,ENCFF773TRV,ENCFF416UJL
RARA,,,ENCFF227ZBW,
RB1,,ENCFF487HQU,,
RBBP5,,ENCFF042FRR,,
RBFOX2,,,ENCFF960MBV,
RBM22,,,ENCFF938EGN,
RBM39,,,ENCFF614GWM,
RBPJ,,,ENCFF773DLD,
RCOR1,,ENCFF483ELN,ENCFF731HYD,ENCFF733OPZ
RCOR2,,,ENCFF966DNE,
RELA,,ENCFF000VZM,,
RELB,,ENCFF389ZFU,,
RERE,,,ENCFF202CXC,
REST,ENCFF347ECZ,ENCFF320YSB,ENCFF843JOP,"ENCFF000QOW,ENCFF000QOX"
RFX1,,,ENCFF909VVP,"ENCFF003FRZ,ENCFF697OGK"
RFX3,,,ENCFF631ZKU,
RFX5,,ENCFF972UXB,ENCFF682WFZ,ENCFF839ULD
RFXANK,,,ENCFF939BRP,
RNF2,,,ENCFF471DDR,
RUNX3,,ENCFF238SAO,,
RXRA,ENCFF362WXS,ENCFF899EVQ,ENCFF069VLE,
RXRB,,,ENCFF938MMR,
SAP130,,,ENCFF782UYZ,
SFPQ,,,ENCFF656QSA,
SIN3A,,ENCFF747GCR,ENCFF413KSB,"ENCFF000QQQ,ENCFF000QQP,ENCFF502ZFP"
SIN3B,,,ENCFF875SAX,
SIX4,,,,ENCFF674GKW
SIX5,,ENCFF371AOB,,
SKI,,,ENCFF946GRK,
SKIL,,ENCFF261BLY,,
SMAD1,,ENCFF202VQL,,
SMAD4,,,ENCFF946QBC,
SMAD5,,ENCFF899QCA,,
SMARCA5,,ENCFF943WFE,,ENCFF968EXO
SMARCC2,,,ENCFF314DLR,
SMARCE1,,,ENCFF816FIC,ENCFF046VUF
SMC3,,ENCFF235BXX,ENCFF038ZLJ,
SNIP1,,,,ENCFF772JEF
SNRNP70,,,ENCFF033CYW,
SOX13,,,ENCFF353HMO,
SOX5,,,ENCFF205DNT,
SOX6,,,ENCFF494UFB,
SP1,ENCFF214PZW,"ENCFF000OER,ENCFF000OES",ENCFF732DBE,ENCFF475AXY
SP5,,,ENCFF403NPP,
SPI1,,ENCFF793RKX,,
SREBF1,,,ENCFF000XXW,ENCFF911YFI
SREBF2,,,ENCFF000XYI,
SRF,,ENCFF662ICX,,"ENCFF000QQY,ENCFF000QQW"
SRSF1,,,ENCFF248HDP,
SRSF4,,,ENCFF694EXT,
SRSF9,,,ENCFF697WEU,
SSRP1,,,ENCFF043OFA,
STAT3,,ENCFF133SDO,,
STAT5A,,ENCFF113XQT,,
SUZ12,,ENCFF876VVJ,ENCFF406ZOC,ENCFF362SAR
SYNCRIP,,,ENCFF832GIC,
TAF1,ENCFF022XAG,ENCFF411THR,ENCFF580VSV,
TAF15,,,ENCFF715SJM,
TARDBP,,ENCFF833JIA,ENCFF470CIC,ENCFF195LUJ
TBL1XR1,,ENCFF816KEF,ENCFF290HKN,
TBP,,ENCFF595HYD,ENCFF422EPR,
TBX21,,ENCFF193RDB,,
TBX3,,,ENCFF172LWV,
TCF12,,ENCFF527WDJ,ENCFF558SFX,"ENCFF000QRM,ENCFF000QRN"
TCF7,,ENCFF758RBF,ENCFF803QZF,
TCF7L2,,,ENCFF000XYZ,ENCFF000ZLO
TEAD1,,,ENCFF560SPJ,
TEAD3,,,ENCFF727JQT,
TEAD4,,,,"ENCFF000QRT,ENCFF000QRW"
TFAP4,,,ENCFF618RTC,
TFDP1,,,ENCFF403ACS,
TFE3,,,ENCFF849WIP,
TGIF2,,,ENCFF345LNB,
THAP11,,,ENCFF308XAV,
THRB,,,ENCFF256LXB,
TOE1,,,ENCFF831NEN,ENCFF681HEF
TRIM22,,ENCFF896KWL,ENCFF675GQK,ENCFF919TQM
U2AF1,,,ENCFF311ZPR,
U2AF2,,,ENCFF197UJE,
UBTF,,ENCFF127MEU,,
USF1,,ENCFF427RYH,ENCFF462BPN,
USF2,,ENCFF830RBU,,
WRNIP1,,ENCFF526WWD,,
XRCC5,,,ENCFF383DHE,
YBX1,,ENCFF026GPY,ENCFF681OZI,ENCFF905KFJ
YY1,ENCFF486TVE,ENCFF631VCL,ENCFF435UFJ,
ZBED1,,ENCFF546BYE,,
ZBTB1,,,,ENCFF178SOL
ZBTB11,,,,ENCFF329KUH
ZBTB25,,,ENCFF541OOA,
ZBTB26,,,ENCFF071IDI,
ZBTB33,ENCFF386HDH,ENCFF759UFB,,ENCFF305ALD
ZBTB40,,ENCFF806TXV,ENCFF586CXD,ENCFF510IAP
ZBTB7A,,,ENCFF247XOF,
ZBTB7B,,,,ENCFF862EBX
ZEB1,,ENCFF167NPM,"ENCFF000PTG,ENCFF000PTH",
ZFP36,,ENCFF508ATZ,ENCFF806BRE,
ZFP64,,,ENCFF081XPV,
ZFX,,,,ENCFF172IQM
ZGPAT,,,ENCFF432HFP,
ZHX2,,,ENCFF796LFD,ENCFF563BHV
ZKSCAN1,,,ENCFF123JFG,ENCFF773XHL
ZKSCAN8,,,ENCFF991ROC,
ZMYM3,,,ENCFF494NAX,
ZNF143,,ENCFF454HNA,,
ZNF205,,,ENCFF129TSM,
ZNF207,,ENCFF484ZSZ,ENCFF293HMA,ENCFF396ZVZ
ZNF217,,ENCFF998OVR,,"ENCFF686MKA,ENCFF586OEO,ENCFF000ZLZ"
ZNF24,,ENCFF133LHQ,ENCFF580GNN,ENCFF182CLS
ZNF274,,,ENCFF000XZQ,
ZNF282,,,ENCFF513OEY,
ZNF3,,,ENCFF336PWR,
ZNF384,,ENCFF957MTQ,ENCFF510WJW,
ZNF444,,,,ENCFF955GAW
ZNF48,,,ENCFF448LEY,
ZNF507,,,,ENCFF183FYY
ZNF511,,,ENCFF393ZMA,
ZNF512B,,,,"ENCFF271WVR,ENCFF327KZK"
ZNF574,,,,ENCFF188FHJ
ZNF579,,,,ENCFF643JEJ
ZNF580,,,ENCFF194BQZ,
ZNF592,,ENCFF636MWX,,"ENCFF154RQE,ENCFF862BEF"
ZNF614,,,ENCFF902BRY,
ZNF622,,ENCFF085HIP,,
ZNF644,,,ENCFF246LTM,
ZNF652,,,ENCFF762OXK,
ZNF687,,ENCFF082CZO,,ENCFF969AXG
ZNF7,,,ENCFF920WEM,
ZNF792,,,ENCFF447UMI,
ZNF8,,,,ENCFF019KQK
ZSCAN29,,ENCFF964JLQ,,
ZSCAN9,,,ENCFF572RWA,
ZZZ3,,ENCFF971DNG,,
